,max_msd,mean_msd,positive_ratio,negative_ratio,positive_combo,negative_combo
37,0.1767766952966369,0.014672218217224461,0.12688172043010754,0.16129032258064516,0,0
38,0.26516504294495535,0.024271673623207486,0.42585551330798477,0.30798479087452474,2,0
39,0.1767766952966369,0.013550222389951808,0.23515439429928742,0.1377672209026128,0,0
40,0.23570226039551584,0.014955339185672017,0.2548076923076923,0.2620192307692308,0,0
41,0.29462782549439476,0.0245101117804583,0.2502826988315115,0.28269883151149644,1,5
42,0.23570226039551584,0.014676854721099778,0.24175126903553298,0.4051395939086294,1,18
43,0.1590990257669732,0.008974081026957886,0.2641509433962264,0.25834542815674894,0,0
44,0.06366982854530152,0.013344433100340794,0.2647058823529412,0.3235294117647059,0,0
45,0.2403542786927958,0.013249692688061037,0.35172413793103446,0.36724137931034484,1,4
46,0.17677669529663687,0.016958512555486745,0.2811011116993118,0.28904182106934884,2,0
47,0.14493546266502447,0.010425602872455534,0.31833150384193193,0.4588364434687157,1,7
48,0.3535533905932739,0.040482136310261686,0.22674418604651161,0.2744186046511628,0,0
49,0.22976018660403216,0.010719245651548484,0.33619160260201064,0.34506209343583677,8,12
50,0.7071067811865478,0.027608889783668742,0.1066350710900474,0.17417061611374407,0,0
51,0.23570226039551578,0.017715865999925345,0.07323232323232323,0.18181818181818182,0,0
52,0.23570226039551587,0.014167371036356367,0.2678787878787879,0.2727272727272727,4,1
53,0.11785113019775792,0.009479585669741128,0.15384615384615385,0.07307692307692308,0,0
54,0.17677669529663687,0.009327317766430454,0.34212629896083135,0.4372501998401279,0,9
55,0.28284271247461895,0.019826754438435526,0.17966903073286053,0.27423167848699764,0,1
56,0.27274118702909683,0.020986374515777388,0.32341526520051744,0.25485122897800777,1,1
57,0.10101525445522101,0.009238620365175055,0.13793103448275862,0.15517241379310345,0,0
58,0.0785674201318386,0.014609830192214806,0.21153846153846154,0.21923076923076923,0,0
59,0.14142135623730948,0.013009220943312192,0.21489001692047377,0.33671742808798644,0,3
60,0.23570226039551587,0.014495599356156078,0.09967141292442497,0.21029572836801752,0,0
61,0.3609190862306336,0.030199486005025495,0.16666666666666666,0.4614512471655329,0,11
62,0.36426712970216085,0.02877187561474304,0.19690265486725664,0.3241150442477876,1,2
63,0.3535533905932738,0.050101737309036366,0.17880794701986755,0.052980132450331126,0,0
64,0.3633743181097535,0.017785210575419992,0.2542372881355932,0.39907550077041604,1,6
65,0.1767766952966369,0.01434934663212381,0.20448369565217392,0.44497282608695654,0,8
66,0.11785113019775792,0.005490633937587594,0.15853658536585366,0.08841463414634146,0,0
67,0.23570226039551578,0.023648705863100077,0.21724709784411278,0.13598673300165837,1,0
68,0.11785113019775788,0.012710869145582346,0.047058823529411764,0.07058823529411765,0,0
69,0.18927605759033841,0.01166374816775354,0.24102564102564103,0.5423076923076923,1,21
70,0.08586296628693789,0.014543598275769806,0.3953488372093023,0.16279069767441862,0,0
71,0.1767766952966369,0.02272474616662872,0.18787878787878787,0.17575757575757575,0,0
72,0.1087856586440842,0.008509280106221375,0.418745785569791,0.24409979770734996,12,1
73,0.0,0.0,0.0,0.0,0,0
74,0.23570226039551584,0.013912853134721528,0.08783783783783784,0.11486486486486487,0,0
75,0.1796411324889435,0.017517724392690292,0.22402597402597402,0.3003246753246753,0,0
76,0.17677669529663687,0.005007461339950447,0.09789473684210526,0.09473684210526316,0,0
77,0.23570226039551584,0.014732439162925543,0.11392405063291139,0.08069620253164557,0,0
78,0.17677669529663695,0.015091280016413721,0.22216216216216217,0.21027027027027026,1,0
79,0.4321208107251124,0.03246405089780925,0.20134228187919462,0.5838926174496645,0,2
80,0.04411280627753182,0.004907528252383584,0.433392539964476,0.5571343990526939,9,28
81,0.3535533905932738,0.014874015243795625,0.21229368241320432,0.6067159931701764,0,53
82,0.35355339059327373,0.020947452666646372,0.14095898324667822,0.22645869439630273,0,1
83,0.2862098876231263,0.02011771780513371,0.26490066225165565,0.30960264900662254,1,1
84,0.11274534827322384,0.008193510312845256,0.13310366426558096,0.44065142499217036,1,31
85,0.13175902755028832,0.010664615601701056,0.2635593220338983,0.288135593220339,1,2
86,0.3535533905932738,0.017236090208636756,0.35991820040899797,0.3394683026584867,1,2
87,0.05160957051170369,0.007499301412428281,0.26292134831460673,0.647191011235955,1,32
88,0.35355339059327384,0.014611616716418127,0.2554697554697555,0.19755469755469757,4,1
89,0.31819805153394637,0.016053254868533748,0.319164265129683,0.4315561959654179,2,14
90,0.7071067811865476,0.01936502760723938,0.218213058419244,0.16494845360824742,0,0
91,0.22980970388562796,0.01465711952867585,0.2765804597701149,0.46623563218390807,1,14
92,0.23570226039551584,0.04239272265158828,0.1702127659574468,0.06382978723404255,0,0
93,0.013853699620844826,0.007519262427183389,0.4,0.4,0,0
94,0.257348386350206,0.013814686117846866,0.1903807615230461,0.25851703406813625,1,0
95,0.3535533905932738,0.020402626038196245,0.22814685314685315,0.27797202797202797,0,2
96,0.0813096271656609,0.012619474606184547,0.1968503937007874,0.18110236220472442,0,0
97,0.218371211837022,0.01986439408604112,0.24233983286908078,0.25348189415041783,0,0
98,0.16008111851862117,0.00915747812158296,0.18734673859735165,0.1868563021088769,0,0
99,0.1667632005739516,0.01402508097948934,0.23671875,0.4765625,0,11
